 'species'::'rioter','cycle'::rioter_cyclesi,'time'::rioter_timesi,'name'::rioter_namesi,'x'::rioter_x_locsi,'y'::rioter_y_locsi,'state_flock'::rioter_is_in_state_flocki,'state_violent'::rioter_is_in_state_violenti,'state_retreat'::rioter_is_in_state_retreati,'spatial_incursion_detected'::rioter_spatial_incursion_detectedi,'outnumbered_detected'::rioter_outnumbered_detectedi,'feeling_target_for_arrest_detected'::rioter_feeling_target_for_arrest_detectedi,'being_arrested_detected'::rioter_being_arrested_detectedi,'unjust_arrest_around_detected'::rioter_unjust_arrest_around_detectedi,'surrounded_detected'::rioter_surrounded_detectedi,'any_police_officer_around_detected'::rioter_any_police_officer_around_detectedi,'order_to_scatter_signal_detected'::rioter_order_to_scatter_signal_detectedi,'arrest_around_detected'::rioter_arrest_around_detectedi,'has_fear_confirmed'::rioter_has_fear_confirmedi,'has_fear'::rioter_has_feari,'has_anger'::rioter_has_angeri,'has_sadness'::rioter_has_sadnessi,'has_joy'::rioter_has_joyi,'grievance'::rioter_grievancei,'arrest_proba'::rioter_arrest_probai,'aggr_police_social_liking'::rioter_aggr_police_social_likingi,'record_damage_done'::rioter_record_damage_donei,'risk_aversion'::rioter_risk_aversioni,'police_social_liking_influence'::rioter_police_social_liking_influencei,'felt_negative_emotions'::rioter_felt_negative_emotionsi,'feel_strong_negative_emotions'::rioter_feel_strong_negative_emotionsi,'current_energy'::rioter_current_energyi 
rioter,0,0.0,rioter47,15.339917166482444,30.390527014244096,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5560071629324992,0.0,0.0,0.0,0.04089831713352754,1.0,0.0,false,300.0
rioter,0,0.0,rioter48,47.484341473437105,24.994046888837634,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.6210018560227647,0.0,0.0,0.0,0.19121088967229893,1.0,0.0,false,300.0
rioter,0,0.0,rioter49,37.382818917393,29.98205611811251,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.08153704430595188,0.0,0.0,0.0,0.6682538317024802,1.0,0.0,false,300.0
rioter,0,0.0,rioter50,27.478354276737956,34.535745940634854,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.09683129301814497,0.9989922145709514,0.0,0.0,0.731770193432144,1.0,0.0,false,300.0
rioter,0,0.0,rioter51,27.74350259271012,31.317335102703897,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.8895507681191716,0.9899481642553665,0.0,0.0,0.23654691355226265,1.0,0.0,false,300.0
rioter,0,0.0,rioter52,20.818415746451002,22.518358589803015,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.06131938588242847,0.0,0.0,0.0,0.819893006981716,1.0,0.0,false,300.0
rioter,0,0.0,rioter53,38.8401452246609,29.941073940747128,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.3770348853607276,0.0,0.0,0.0,0.83135387918262,1.0,0.0,false,300.0
rioter,0,0.0,rioter54,21.258772483478626,24.950562186776384,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.14177665877921686,0.0,0.0,0.0,0.5134076483218828,1.0,0.0,false,300.0
rioter,0,0.0,rioter55,38.50091395697988,27.695053966543423,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5787696013401087,0.0,0.0,0.0,0.12811214313462693,1.0,0.0,false,300.0
rioter,0,0.0,rioter56,47.348367402061186,21.826329946615175,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.6698239408940024,0.0,0.0,0.0,0.9561068103576145,1.0,0.0,false,300.0
rioter,0,0.0,rioter57,29.18863199623968,30.261685957546515,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.07484753918721887,0.0,0.0,0.0,0.27725197506969235,1.0,0.0,false,300.0
rioter,0,0.0,rioter58,21.217625566639654,33.60076443361073,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.6966216086749839,0.8997411562771962,0.0,0.0,0.3452867841692896,1.0,0.0,false,300.0
rioter,0,0.0,rioter59,12.947479411822712,29.81690495595001,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.7950780612943633,0.0,0.0,0.0,0.8814633330886056,1.0,0.0,false,300.0
rioter,0,0.0,rioter60,20.568254749889892,26.131022940878573,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.23639901795254847,0.0,0.0,0.0,0.7317292190273647,1.0,0.0,false,300.0
rioter,0,0.0,rioter61,24.631532615947034,32.115665850074954,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.26072413531152105,0.8997411562771962,0.0,0.0,0.37134795866316483,1.0,0.0,false,300.0
rioter,0,0.0,rioter62,5.373642314529441,21.09000321127776,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.25467363221111705,0.0,0.0,0.0,0.9769003375912543,1.0,0.0,false,300.0
rioter,0,0.0,rioter63,44.95011521575941,29.280654998559758,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.7459203224776092,0.0,0.0,0.0,0.57573264142891,1.0,0.0,false,300.0
rioter,0,0.0,rioter64,48.403742115490466,32.310755033831256,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.5717743334837795,0.9899481642553665,0.0,0.0,0.4773478101424855,1.0,0.0,false,300.0
rioter,0,0.0,rioter65,15.740906690711025,17.036600678093556,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.8170186272401024,0.0,0.0,0.0,0.9723035209216131,1.0,0.0,false,300.0
rioter,0,0.0,rioter66,18.460122258232577,20.261819940735204,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.10525984550078704,0.0,0.0,0.0,0.1331486926765243,1.0,0.0,false,300.0
rioter,0,0.0,rioter67,28.69094902686404,23.82909068656754,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.3890377505453402,0.0,0.0,0.0,0.00169982553220649,1.0,0.0,false,300.0
rioter,0,0.0,rioter68,42.36080968473754,17.966935169565787,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.3445804712149797,0.0,0.0,0.0,0.8379373961761704,1.0,0.0,false,300.0
rioter,0,0.0,rioter69,37.89209518755406,32.709390835887525,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4821936164293703,0.0,0.0,0.0,0.7560256534474546,1.0,0.0,false,300.0
rioter,0,0.0,rioter70,28.414556022804106,28.237893930352428,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.2997028363199298,0.0,0.0,0.0,0.271309064623263,1.0,0.0,false,300.0
rioter,0,0.0,rioter71,16.857003250192584,26.141226403210645,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.6063100606797809,0.0,0.0,0.0,0.9339193462899805,1.0,0.0,false,300.0
rioter,0,0.0,rioter72,24.21926518559914,18.54685668577584,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.4100270177520202,0.0,0.0,0.0,0.3259588239130755,1.0,0.0,false,300.0
rioter,0,0.0,rioter73,3.428673094747209,32.5805347616878,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.11995507052886234,0.9989922145709514,0.0,0.0,0.5662992515976193,1.0,0.0,false,300.0
rioter,0,0.0,rioter74,40.158761932454794,18.899667201034173,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.0780065182309847,0.0,0.0,0.0,0.8262003251276452,1.0,0.0,false,300.0
rioter,0,0.0,rioter75,15.324253050833997,24.35607786420656,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,0.590480699917292,0.0,0.0,0.0,0.38511391748934665,1.0,0.0,false,300.0
